#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2019 09 10 17 00 130  4.1  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 16 54 150  4.1  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 16 48 140  3.6  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 16 42 140  4.6  5.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 16 36 140  3.6  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 16 30 150  5.1  5.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 16 24 130  3.6  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 16 18 150  3.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 16 12 140  3.6  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 16 06 150  3.1  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 16 00 140  4.1  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 15 54 130  3.6  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 15 48 120  4.1  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 15 42 140  4.1  5.7    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 15 36 130  3.6  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 15 30 120  5.1  6.2    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 15 24 120  3.6  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 15 18 120  3.6  5.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 09 10 15 12 110  3.1  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
